Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),State,,,,,,,
KS0107304002BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,7,30,40,2,BA,US2S
KS0110094003BAUS2S,BA,28,Dieldrin,A,0.009,0.0013,M,D,,,H,O,999,1,0.3 AL,KS,1,10,9,40,3,BA,US2S
KS0106254001BAUS2H,BA,28,Dieldrin,A,0.0056,0.0013,M,D,,,H,O,999,1,0.3 AL,KS,1,6,25,40,1,BA,US2H
KS0107094001BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,7,9,40,1,BA,US2S
KS0107164001BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,7,16,40,1,BA,US2S
KS0107164013BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,7,16,40,13,BA,US2H
KS0107234001BAUS2H,BA,910,"DDE p,p'",A,0.014,0.0027,M,D,,,H,O,999,1,5 AL,KS,1,7,23,40,1,BA,US2H
KS0107234003BAUS2S,BA,910,"DDE p,p'",A,0.039,0.0027,M,D,,,H,O,999,1,5 AL,KS,1,7,23,40,3,BA,US2S
KS0107234013BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,7,23,40,13,BA,US2S
KS0107304001BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,7,30,40,1,BA,US2H
KS0107304002BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,KS,1,7,30,40,2,BA,US2S
KS0108064002BAUS2S,BA,28,Dieldrin,A,0.007,0.0013,M,D,,,H,O,999,1,0.3 AL,KS,1,8,6,40,2,BA,US2S
KS0108064003BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,8,6,40,3,BA,US2S
KS0108204001BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,8,20,40,1,BA,US2H
KS0108204003BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,8,20,40,3,BA,US2S
KS0108274002BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,8,27,40,2,BA,US2H
KS0108274012BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,8,27,40,12,BA,US2H
KS0109034001BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,9,3,40,1,BA,US2S
KS0109104001BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,9,10,40,1,BA,US2S
KS0109104002BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,9,10,40,2,BA,US2H
KS0109104002BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,9,10,40,2,BA,US2S
KS0109174002BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,9,17,40,2,BA,US2H
KS0109244013BAUS2H,BA,28,Dieldrin,A,0.0068,0.0013,M,D,,,H,O,999,1,0.3 AL,KS,1,9,24,40,13,BA,US2H
KS0110014002BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,1,40,2,BA,US2H
KS0110014002BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,1,40,2,BA,US2S
KS0110014003BAUS2S,BA,910,"DDE p,p'",A,0.0119,0.0027,M,D,,,H,O,999,1,5 AL,KS,1,10,1,40,3,BA,US2S
KS0110014012BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,1,40,12,BA,US2H
KS0110094002BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,9,40,2,BA,US2S
KS0110094003BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,9,40,3,BA,US2S
KS0110094013BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,9,40,13,BA,US2S
KS0110154003BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,15,40,3,BA,US2H
KS0110154012BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,15,40,12,BA,US2S
KS0110224012BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,KS,1,10,22,40,12,BA,US2S
KS0110294002BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,29,40,2,BA,US2S
KS0110294013BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,10,29,40,13,BA,US2H
KS0111124001BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,11,12,40,1,BA,US2S
KS0111264001BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,11,26,40,1,BA,US2H
KS0111264002BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,11,26,40,2,BA,US2S
KS0112034001BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,12,3,40,1,BA,US2H
KS0112034002BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,12,3,40,2,BA,US2S
KS0112104002BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,12,10,40,2,BA,US2S
KS0112104003BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,12,10,40,3,BA,US2H
KS0112174001BAUS2S,BA,910,"DDE p,p'",A,0.0107,0.0027,M,D,,,H,O,999,1,5 AL,KS,1,12,17,40,1,BA,US2S
KS0112174003BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,KS,1,12,17,40,3,BA,US2H
KS0201144001BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,1,14,40,1,BA,US2S
KS0201214001BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,1,21,40,1,BA,US2H
KS0202114003BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,2,11,40,3,BA,US2S
KS0202254001BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,2,25,40,1,BA,US2H
KS0202254003BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,2,25,40,3,BA,US2H
KS0202254012BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,2,25,40,12,BA,US2S
KS0203254001BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,3,25,40,1,BA,US2H
KS0204014002BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,4,1,40,2,BA,US2H
KS0204084012BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,KS,2,4,8,40,12,BA,US2S
KS0204154013BAUS2H,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,KS,2,4,15,40,13,BA,US2H
KS0206174003BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,6,17,40,3,BA,US2S
KS0207084003BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,KS,2,7,8,40,3,BA,US2H
KS0211045001WRCO1,WR,785,Desisopropyl atrazine,R,83.25,50,T,I,,Q,H,O,901,34,,KS,2,11,4,50,1,WR,CO1
KS0211045001WRCO1,WR,305,Atrazine,R,74.3,5,T,I,,,H,O,901,34,,KS,2,11,4,50,1,WR,CO1
KS0211045002WRCO1,WR,785,Desisopropyl atrazine,R,83.25,50,T,I,,Q,H,O,901,34,,KS,2,11,4,50,2,WR,CO1
KS0211045002WRCO1,WR,283,Metolachlor,A,77.3,5,T,I,,,H,O,901,34,,KS,2,11,4,50,2,WR,CO1
KS0211045002WRCO1,WR,305,Atrazine,R,212.6,5,T,I,,,H,O,901,34,,KS,2,11,4,50,2,WR,CO1
KS0211115001WRCO1,WR,305,Atrazine,R,84.4,5,T,I,,,H,O,901,34,,KS,2,11,11,50,1,WR,CO1
KS0211115001WRCO1,WR,964,Desethyl atrazine,R,82.3,25,T,I,,,H,O,901,34,,KS,2,11,11,50,1,WR,CO1
KS0211125002WRCO1,WR,785,Desisopropyl atrazine,R,83.25,50,T,I,,Q,H,O,901,34,,KS,2,11,12,50,2,WR,CO1
KS0211125002WRCO1,WR,305,Atrazine,R,287.6,5,T,I,,,H,O,901,34,,KS,2,11,12,50,2,WR,CO1
KS0211125002WRCO1,WR,964,Desethyl atrazine,R,149.6,25,T,I,,,H,O,901,34,,KS,2,11,12,50,2,WR,CO1
KS0211185001WRCO1,WR,305,Atrazine,R,125,5,T,I,,,H,O,901,34,,KS,2,11,18,50,1,WR,CO1
KS0211185001WRCO1,WR,964,Desethyl atrazine,R,41.625,25,T,I,,Q,H,O,901,34,,KS,2,11,18,50,1,WR,CO1
KS0211185002WRCO1,WR,283,Metolachlor,A,72,5,T,I,,,H,O,901,34,,KS,2,11,18,50,2,WR,CO1
KS0211185002WRCO1,WR,46,Monuron,A,7.492,4.5,T,I,,Q,H,O,901,34,,KS,2,11,18,50,2,WR,CO1
KS0211185002WRCO1,WR,305,Atrazine,R,265,5,T,I,,,H,O,901,34,,KS,2,11,18,50,2,WR,CO1
KS0212025001WRCO1,WR,305,Atrazine,R,77,5,T,I,,,H,O,901,34,,KS,2,12,2,50,1,WR,CO1
KS0212025002WRCO1,WR,964,Desethyl atrazine,R,142,25,T,I,,,H,O,901,34,,KS,2,12,2,50,2,WR,CO1
KS0212025002WRCO1,WR,283,Metolachlor,A,98.3,5,T,I,,,H,O,901,34,,KS,2,12,2,50,2,WR,CO1
KS0212095001WRCO1,WR,283,Metolachlor,A,35,5,T,I,,,H,O,901,34,,KS,2,12,9,50,1,WR,CO1
