Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),State,Year,Month,Day,Collection Site,Commodity Code,Analyzing Lab Code
MT0601095001WRMT1,WR,26,"2,4-D",G,6.2,0.65,T,LT,,,H,O,811,62,,MT,6,1,9,5001,WR,MT1
MT0601235001WRMT1,WR,26,"2,4-D",G,7.7,0.65,T,LT,,,H,O,811,62,,MT,6,1,23,5001,WR,MT1
MT0602135001WRMT1,WR,26,"2,4-D",G,6.9,0.65,T,LT,,,H,O,811,62,,MT,6,2,13,5001,WR,MT1
MT0602275001WRMT1,WR,26,"2,4-D",G,8,0.65,T,LT,,,H,O,811,62,,MT,6,2,27,5001,WR,MT1
MT0603135001WRMT1,WR,26,"2,4-D",G,6.8,0.65,T,LT,,,H,O,811,62,,MT,6,3,13,5001,WR,MT1
MT0603275001WRMT1,WR,26,"2,4-D",G,5.4,0.65,T,LT,,,H,O,811,62,,MT,6,3,27,5001,WR,MT1
MT0604105001WRMT1,WR,26,"2,4-D",G,8.4,0.65,T,LT,,,H,O,811,62,,MT,6,4,10,5001,WR,MT1
MT0604245001WRMT1,WR,26,"2,4-D",G,3.9,0.65,T,LT,,,H,O,811,62,,MT,6,4,24,5001,WR,MT1
MT0605085001WRMT1,WR,26,"2,4-D",G,1.08,0.65,T,LT,,Q,H,O,811,62,,MT,6,5,8,5001,WR,MT1
MT0605225001WRMT1,WR,26,"2,4-D",G,2.2,0.65,T,LT,,,H,O,811,62,,MT,6,5,22,5001,WR,MT1
MT0606055001WRMT1,WR,26,"2,4-D",G,4.2,0.65,T,LT,,,H,O,811,62,,MT,6,6,5,5001,WR,MT1
MT0606195001WRMT1,WR,26,"2,4-D",G,1.08,0.65,T,LT,,Q,H,O,811,62,,MT,6,6,19,5001,WR,MT1
