Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),State,Year,Month,day,,,
NE0108204010BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,8,20,4010,BA,US2S
NE0108204019BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,8,20,4019,BA,US2S
NE0110094009BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,10,9,4009,BA,US2S
NE0110224022BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,10,22,4022,BA,US2S
NE0107164011BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,7,16,4011,BA,US2S
NE0107234011BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,7,23,4011,BA,US2H
NE0107304009BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,7,30,4009,BA,US2S
NE0107304010BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,7,30,4010,BA,US2H
NE0107304018BAUS2H,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,7,30,4018,BA,US2H
NE0108134010BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,8,13,4010,BA,US2S
NE0108134011BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,8,13,4011,BA,US2S
NE0108204005BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,8,20,4005,BA,US2S
NE0108204010BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,8,20,4010,BA,US2S
NE0108204019BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,8,20,4019,BA,US2S
NE0109244009BAUS2S,BA,50,Lindane (BHC gamma),A,0.0033,0.002,M,D,,Q,H,O,999,1,7 AL,NE,1,9,24,4009,BA,US2S
NE0110094009BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,10,9,4009,BA,US2S
NE0110154011BAUS2H,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,10,15,4011,BA,US2H
NE0110154019BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,10,15,4019,BA,US2S
NE0110154036BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,10,15,4036,BA,US2C
NE0110224022BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,1,0.3 AL,NE,1,10,22,4022,BA,US2S
NE0111264009BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,11,26,4009,BA,US2H
NE0111264033BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,11,26,4033,BA,US2C
NE0112034009BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,1,5 AL,NE,1,12,3,4009,BA,US2S
NE0201074011BAUS2S,BA,28,Dieldrin,A,0.0051,0.0013,M,D,,,H,O,999,65,0.3 AL,NE,2,1,7,4011,BA,US2S
NE0202044009BAUS2S,BA,910,"DDE p,p'",A,0.009,0.0027,M,D,,,H,O,999,65,5 AL,NE,2,2,4,4009,BA,US2S
NE0203114010BAUS2H,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,3,11,4010,BA,US2H
NE0203254009BAUS2H,BA,28,Dieldrin,A,0.0088,0.0013,M,D,,,H,O,999,65,0.3 AL,NE,2,3,25,4009,BA,US2H
NE0203254009BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,3,25,4009,BA,US2H
NE0203254033BAUS2C,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,3,25,4033,BA,US2C
NE0204224005BAUS2H,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,4,22,4005,BA,US2H
NE0201074011BAUS2S,BA,143,Heptachlor epoxide,A,0.0013,0.0008,M,D,,Q,H,O,999,65,0.2 AL,NE,2,1,7,4011,BA,US2S
NE0201144010BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,1,14,4010,BA,US2H
NE0201214005BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,1,21,4005,BA,US2S
NE0201214022BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,1,21,4022,BA,US2S
NE0202044009BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,2,4,4009,BA,US2S
NE0202254011BAUS2H,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,2,25,4011,BA,US2H
NE0202254019BAUS2S,BA,28,Dieldrin,A,0.0061,0.0013,M,D,,,H,O,999,65,0.3 AL,NE,2,2,25,4019,BA,US2S
NE0203114010BAUS2H,BA,143,Heptachlor epoxide,A,0.0013,0.0008,M,D,,Q,H,O,999,65,0.2 AL,NE,2,3,11,4010,BA,US2H
NE0203254005BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,3,25,4005,BA,US2H
NE0203254005BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,3,25,4005,BA,US2S
NE0203254009BAUS2H,BA,143,Heptachlor epoxide,A,0.0013,0.0008,M,D,,Q,H,O,999,65,0.2 AL,NE,2,3,25,4009,BA,US2H
NE0203254010BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,3,25,4010,BA,US2S
NE0203254033BAUS2C,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,3,25,4033,BA,US2C
NE0204224005BAUS2H,BA,143,Heptachlor epoxide,A,0.0013,0.0008,M,D,,Q,H,O,999,65,0.2 AL,NE,2,4,22,4005,BA,US2H
NE0204224011BAUS2H,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,4,22,4011,BA,US2H
NE0204294005BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,4,29,4005,BA,US2S
NE0204294022BAUS2S,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,4,29,4022,BA,US2S
NE0205064033BAUS2C,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,5,6,4033,BA,US2C
NE0205134018BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,5,13,4018,BA,US2S
NE0206104010BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,6,10,4010,BA,US2S
NE0206104011BAUS2H,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,6,10,4011,BA,US2H
NE0206104011BAUS2S,BA,28,Dieldrin,A,0.0022,0.0013,M,D,,Q,H,O,999,65,0.3 AL,NE,2,6,10,4011,BA,US2S
NE0206174009BAUS2H,BA,910,"DDE p,p'",A,0.0045,0.0027,M,D,,Q,H,O,999,65,5 AL,NE,2,6,17,4009,BA,US2H
NE0207084009BAUS2S,BA,910,"DDE p,p'",A,0.0096,0.0027,M,D,,,H,O,999,65,5 AL,NE,2,7,8,4009,BA,US2S
