Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),State,Year,Month,Day,Collection Site,Commodity Code,Analyzing Lab Code
ND0505235001WRCO1,WR,222,Permethrin cis,O,68,8,T,M ,,,H ,O,901,7,,ND,5,5,23,50,1,WR,CO1
ND0506205001WRCO1,WR,AEB,Dimethenamid/Dimethenamid P,F,75,45,T,I ,,Q ,HU,O,903,64,,ND,5,6,20,50,1,WR,CO1
ND0506205001WRCO1,WR,305,Atrazine,R,58,5,T,M ,,,H ,O,901,7,,ND,5,6,20,50,1,WR,CO1
ND0504185001WRCO1,WR,ACG,Metolachlor ethanesulfonic acid (ESA),A,75,45,T,I ,,Q ,H ,O,903,64,,ND,5,4,18,50,1,WR,CO1
ND0505235001WRCO1,WR,807,Acetochlor,A,314,45,T,I ,,,H ,O,903,64,,ND,5,5,23,50,1,WR,CO1
ND0506205001WRCO1,WR,318,MCPA,G,152,91,T,I ,,Q ,HU,O,902,62,,ND,5,6,20,50,1,WR,CO1
ND0506275001WRCO1,WR,305,Atrazine,R,8,5,T,M ,,Q ,H ,O,901,7,,ND,5,6,27,50,1,WR,CO1
ND0507115001WRCO1,WR,305,Atrazine,R,53,5,T,M ,,,H ,O,901,7,,ND,5,7,11,50,1,WR,CO1
ND0508085001WRCO1,WR,305,Atrazine,R,20,5,T,M ,,,H ,O,901,7,,ND,5,8,8,50,1,WR,CO1
ND0508225001WRCO1,WR,305,Atrazine,R,53,5,T,M ,,,H ,O,901,7,,ND,5,8,22,50,1,WR,CO1
ND0509125001WRCO1,WR,305,Atrazine,R,20,5,T,M ,,,H ,O,901,7,,ND,5,9,12,50,1,WR,CO1
ND0510035001WRCO1,WR,305,Atrazine,R,8,5,T,M ,,Q ,H ,O,901,7,,ND,5,10,3,50,1,WR,CO1
ND0512125001WRCO1,WR,ABP,Alachlor ethanesulfonic acid (ESA),A,244,45,T,I,,,H,O,903,64,,ND,5,12,12,50,1,WR,CO1
